parent_category,category,count_of_thesis
Science and Environment,ecology/aquatic/scientific,136
Science and Environment,waste management,7
Industry and Economy,business,34
Industry and Economy,business-hr,19
Industry and Economy,socioeconomics,11
Industry and Economy,business-cochin port,6
Industry and Economy,history/socioeconomics,6
Industry and Economy,business-sez,3
Industry and Economy,media impact,1
"Health, Society and Wellbeing",health,30
"Health, Society and Wellbeing",socioeconomics,25
"Health, Society and Wellbeing",social issues,16
"Health, Society and Wellbeing",history/socioeconomics,11
"Health, Society and Wellbeing",media impact,2
Education,education and literacy,14
Education,higher education,9
Art and Cultural Memory,history,10
Art and Cultural Memory,art and culture,4
Art and Cultural Memory,culture,2
Art and Cultural Memory,history/socioeconomics,1
